18. Alwal,18. Ulsoor,18. Perungudi,18. Jodhpur,18. Sector 46,18. Sector 21,18. Sion,18. NIBM Road,18. EM Bypass,18. Sarthana,18. Sitapura,18. Sarojini Nagar,18. Sisamau,18. Beltarodi,18. MR 10 Road,18. Khopat,18. Katara Hills,18. Kancharapalem,18. Vaddeswaram,18. Hanuman Nagar,18. Gorwa
19. Kompally,19. Richmond Town,19. Thiruvanmiyur,19. Memnagar,19. Sector 47,19. Sector 21A,19. Bandra,19. Undri,19. Salt Lake,19. Amroli,19. Mahal Road,19. Kapoorthala,19. Harsh Nagar,19. Koradi Road,19. MR 11 Road,19. Louis Wadi,19. Misrod,19. Dondaparthi,19. Kondapalli,19. Jagdeo Path,19. Ajwa Road
20. Bowenpally,20. Shivaji Nagar,20. Kotturpuram,20. Shilaj,20. Sector 48,20. Sector 21B,20. Khar,20. Kondhwa,20. New Town,20. Nana Varachha,20. Model Town,20. Krishna Nagar,20. Kaushalpuri,20. Hingna Road,20. MR 12 Road,20. Teen Hath Naka,20. Awadhpuri,20. Srinagar,20. Gollapudi,20. Phulwari Sharif,20. New Alkapuri
21. Attapur,21. MG Road,21. Saidapet,21. Sola,21. Sector 49,21. Sector 22,21. Santacruz,21. Bibwewadi,21. Rajarhat,21. Mota Varachha,21. Khatipura,21. Thakurganj,21. Rawatpur,21. Mankapur,21. Khajrana,21. Uthalsar,21. Kotra Sultanabad,21. NAD Junction,21. Nowluru,21. Bhootnath Road,21. Sayajigunj
22. Tolichowki,22. Brigade Road,22. Mogappair,22. Vejalpur,22. Sector 50,22. Sector 23,22. Vile Parle,22. Sinhagad Road,22. Dum Dum,22. Lal Darwaja,22. Gopalpura,22. Telibagh,22. Jawahar Nagar,22. Mahal,22. Scheme No. 54,22. Vasant Vihar,22. Berasia Road,22. Gopalapatnam,22. Kuragallu,22. Indrapuri,22. Tandalja
23. Rajendranagar,23. Lavelle Road,23. Ambattur,23. Ranip,23. Sector 51,23. Sector 24,23. Juhu,23. Warje,23. Dumdum Park,23. Ring Road,23. Bani Park,23. Chinhat,23. Mall Road,23. Sitabuldi,23. Scheme No. 78,23. Azad Nagar,23. Jawahar Chowk,23. Chinna Waltair,23. Pedakakani,23. Nageshwar Colony,23. Atladara
24. Shamshabad,24. Langford Town,24. Madhavaram,24. Sabarmati,24. Sector 52,24. Sector 25,24. Andheri,24. Dhankawadi,24. Baguiati,24. Nanpura,24. Kalwar Road,24. Faizabad Road,24. Kanpur Cantonment,24. Sadar,24. Scheme No. 74,24. Mumbra,24. Govindpura,24. Venkojipalem,24. Nidamarru,24. Rukanpura,24. Bhaili
25. Shamirpet,25. Sadashivanagar,25. Poonamallee,25. Shahibaug,25. Sector 53,25. Sector 28,25. Versova,25. Ambegaon,25. Keshtopur,25. Sagrampura,25. Ajmer Road,25. Kanpur Road,25. Nawabganj,25. Nandanvan,25. Scheme No. 114,25. Kalwa,25. TT Nagar,25. HB Colony,25. Chinakakani,25. Shivpuri,25. Kalali
26. Chandanagar,26. RT Nagar,26. Valasaravakkam,26. Kankaria,26. Sector 55,26. Sector 29,26. Lokhandwala,26. Karve Nagar,26. Nagerbazar,26. Athwalines,26. Sirsi Road,26. Raebareli Road,26. Bithoor,26. Indora,26. Scheme No. 103,26. Dombivli East,26. Raisen Road,26. Muralinagar,26. Ibrahimpatnam,26. Pataliputra Industrial Area,26. Sevasi
27. Nizampet,27. Kalyan Nagar,27. Pallavaram,27. Ashram Road,27. Sector 56,27. Sector 30,27. Goregaon,27. Kothrud,27. Lake Town,27. Navsari Bazar,27. Sikar Road,27. Sultanpur Road,27. Panki,27. Jaripatka,27. Scheme No. 140,27. Dombivli West,27. Vidisha Road,27. Bheemunipatnam,27. Namburu,27. Aminabad,27. Sankarda
28. KPHB Colony,28. Kammanahalli,28. Chromepet,28. Law Garden,28. Sector 57,28. Sector 31,28. Malad,28. Deccan Gymkhana,28. Bangur Avenue,28. Majura Gate,28. Chitrakoot,28. Sitapur Road,28. Barra,28. Godhani,28. Scheme No. 136,28. Kalyan East,28. Nehru Nagar,28. Thagarapuvalasa,28. Kaza,28. Samanpura,28. Koyali
29. Patancheru,29. HRBR Layout,29. Tambaram,29. Gulbai Tekra,29. Sector 58,29. Sector 32,29. Kandivali,29. Prabhat Road,29. Ultadanga,29. Surat Railway Station Area,29. Hanuman Nagar,29. Sushant Golf City,29. Juhi,29. Zingabai Takli,29. Scheme No. 94,29. Kalyan West,29. Chandbad,29. Ravindra Nagar,29. Kollur,29. Chitkohra,29. Sadar Bazaar
30. Serilingampally,30. Hennur,30. Purasawalkam,30. Drive-In Road,30. Sector 60,30. Sector 33,30. Borivali,30. Erandwane,30. Kankurgachi,30. Parvat Patiya,30. Sodala,30. Hazratganj,30. Lakhanpur,30. Koradi,30. Scheme No. 59,30. Titwala,30. New Market,30. Ramakrishna Beach,30. Vykuntapuram,30. Patliputra Path,30. Raopura
31. Uppal,31. Thanisandra,31. Aminjikarai,31. Vishwakarma Nagar,31. Sector 61,31. Sector 34,31. Dahisar,31. Model Colony,31. Maniktala,31. Dindoli,31. Nirman Nagar,31. Aliganj,31. Kanpur University Campus,31. Khare Town,31. Scheme No. 54,31. Badlapur,31. Ashoka Garden,31. Pandurangapuram,31. Kothapet,31. Khagaul Road,31. Manekbagh
32. LB Nagar,32. Nagawara,32. Choolaimedu,32. Anandnagar,32. Sector 62,32. Sector 35,32. Mira Road,32. Shivaji Nagar,32. Phoolbagan,32. Godadara,32. Ajmer Road,32. Mahanagar Extension,32. Saket Nagar,32. Khamla,32. Sukhliya,32. Ambernath,32. Bhopal Talkies,32. Arilova,32. Atmakur,32. Mahendru,32. Jambubet
33. Abids,33. Kasturi Nagar,33. Thiruvottiyur,33. Ghatlodiya,33. Sector 63,33. Sector 36,33. Bhayandar,33. FC Road (Fergusson College Road),33. Beliaghata,33. Kharwarnagar,33. Mahindra SEZ,33. Ashiyana Colony,33. Ratanpur Colony,33. Mankapur,33. Silicon City,33. Ulhasnagar,33. Habibganj,33. Duvvada,33. Chandarlapadu,33. Chandmari Road,33. Pratapgunj
34. Himayatnagar,34. Ramamurthy Nagar,34. Teynampet,34. Vastral,34. Sector 64,34. Sector 37,34. Vasai,34. JM Road (Jangali Maharaj Road),34. Tangra,34. Laskana,34. Patrakar Colony,34. South City,34. Nehru Nagar,34. Anant Nagar,34. Manglia,34. Shilphata,34. Koh-e-Fiza,34. Akkayyapalem,34. Thadikonda,34. Gardiner Road,34. Ellisbridge
35. Moosapet,35. KR Puram,35. Ashok Nagar,35. Nikol,35. Sector 65,35. Sector 38,35. Virar,35. Law College Road,35. Park Circus,35. Puna Gam,35. Vidhyadhar Nagar,35. Arjunganj,35. Chakeri,35. Borgaon,35. Pipliya Kumar,35. Dhokali,35. Idgah Hills,35. Maddilapalem,35. Yerrabalem,35. New Patliputra Colony,35. Vishwamitri
36. Hafeezpet,36. Hoodi,36. Vadapalani,36. Naroda,36. Sector 66,36. Sector 39,36. Powai,36. Bhosale Nagar,36. Sealdah,36. Pandesara,36. Shastri Nagar,36. Talkaula,36. Khanpur,36. Wadi,36. AB Road,36. Balkum,36. Kohefiza,36. Kancharapalem,36. Peddaparimi,36. Sultanganj,36. Sussen Circle
37. Pragathi Nagar,37. Mahadevapura,37. Arumbakkam,37. Nava Naroda,37. Sector 70,37. Sector 40,37. Chandivali,37. Gokhale Nagar,37. Esplanade,37. Sachin,37. Murlipura,37. Triveni Nagar,37. Sachendi,37. Mihan,37. Ring Road,37. Thane West,37. Karond,37. Pedawaltair,37. Peddakakani,37. Kurji,37. Makarpura GIDC
"38. Pragathi Nagar, Kukatpally",38. Brookefield,38. Virugambakkam,38. Krishnanagar,38. Sector 71,38. Sector 41,38. Mulund,38. Senapati Bapat Road,38. Minto Park,38. Hazira,38. Jhotwara,"38. Sector 7, Gomti Nagar",38. Shyam Nagar,38. New Mankapur,38. Bombay Hospital Road,38. Thane East,38. Piplani,38. Kothavalasa,38. Vemavaram,38. Bihar Sharif,38. Pratapnagar
39. Hyder Nagar,39. Domlur,39. Koyambedu,39. Odhav,39. Sector 72,39. Sector 42,39. Bhandup,39. Pune University Road,39. Chowringhee,39. Ichchhapor,39. Sanganer,"39. Sector 8, Gomti Nagar",39. Gandhi Nagar,39. Chandrapur,39. Ring Road,39. Kalher,39. Vijay Nagar,39. Kakani Nagar,39. Venigandla,39. Buddha Colony,39. Saraswati Nagar
40. Yousufguda,40. Old Airport Road,40. Mugappair East,40. Vatva,40. Sector 73,40. Sector 43,40. Vikhroli,40. Alandi Road,40. Camac Street,40. Bardoli,40. Bapu Nagar,"40. Sector 9, Gomti Nagar",40. Govind Nagar,40. Wathoda,40. Musakhedi,40. Mumbra Bypass,40. Gandhi Nagar,40. Sithammadhara,40. Vaddeswaram,40. Pahari,40. Subhanpura
41. Khairatabad,41. Banaswadi,41. Mugappair West,41. Isanpur,41. Sector 74,41. Sector 44,41. Kanjurmarg,41. Dhanori,41. Elgin Road,41. Mandvi,41. Kukas,"41. Sector 10, Gomti Nagar",41. Hamirpur Road,41. Kharbi,41. Mhow,41. Airoli,41. Mansarovar Complex,41. Pithapuram Colony,41. Phirangipuram,41. Danapur,41. Anandpura
42. Masab Tank,42. Horamavu,42. Kolathur,42. Lambha,42. Sector 75,42. Sector 45,42. Ghatkopar,42. Lohegaon,42. Lansdowne,42. Mota Varachha,42. Moti Doongri Road,"42. Sector 11, Gomti Nagar",42. Ramaipur,42. Byramji Town,42. Pardesipura,42. Kasarwadavli,42. Raj Bhavan,42. Sagar Nagar,42. Lam,42. Saguna More,42. Vadodara-Halol Road
43. Malkajgiri,43. Kaggadasapura,43. Villivakkam,43. Hathijan,43. Sector 76,43. Sector 46,43. Chembur,43. Tingre Nagar,43. Kalighat,43. Utran,43. Tilak Nagar,"43. Sector 12, Gomti Nagar",43. Naubasta,43. Lakadganj,43. Juni Indore,43. Kavesar,43. Tulsi Nagar,43. Sujatha Nagar,43. Medikonduru,43. Jaganpura,43. Ajwa Road
44. Kushaiguda,44. Varthur,44. Ayanavaram,44. Amraiwadi,44. Sector 77,44. Sector 47,44. Kurla,44. Yerwada,44. Hazra,44. Sayan,44. Ashok Nagar,"44. Sector 13, Gomti Nagar",44. Maharajpur,44. Itwari,44. Bhawar Kuan,44. Gaimukh,44. Berasia,44. Gajuwaka,44. Gorantla,44. Bihta,44. Makarpura Road
45. ECIL,45. Doddanekundi,45. Chetpet,45. New Maninagar,45. Sector 78,45. Sector 48,45. Sion,45. Shastri Nagar,45. Behala,45. Kosad,45. Brahmapuri,"45. Sector 14, Gomti Nagar",45. Moolganj,45. Gandhibagh,45. Rajwada,45. Anand Nagar,45. Fortune Prestige,45. Kurmannapalem,45. Tadikonda,45. Maner,45. Dashrath
46. Nacharam,46. Kadugodi,46. Gopalapuram,46. Jashoda Nagar,46. Sector 79,46. Sector 49,46. Wadala,46. Vishrantwadi,46. Sarsuna,46. Jahangirpura,46. Chandpole,"46. Sector 15, Gomti Nagar",46. Ashok Nagar,46. Pardi,46. RNT Marg,46. Patlipada,46. Paras Urban Park,46. Paradesipalem,46. Kantheru,46. Gandhi Setu,46. Mujmahuda
47. Habsiguda,47. HSR Layout Sector 1,47. Mandaveli,47. Ghodasar,47. Sector 80,47. Sector 50,47. Antop Hill,47. Khadki,47. Sodepur,47. Rohit Nagar,47. Gandhi Path,"47. Sector 16, Gomti Nagar",47. Gwaltoli,47. Uppalwadi,47. Geeta Bhawan,47. Vasant Vihar,47. Bhadbhada Road,47. Aganampudi,47. Dondapadu,47. Sampatchak,47. Laxmipura
48. Tarnaka,48. HSR Layout Sector 2,48. Pallikaranai,48. Behrampura,48. Sector 81,48. Sector 55,48. Sewri,48. Range Hills,48. Baranagar,48. Kapodra,48. Govindpura,"48. Sector 17, Gomti Nagar",48. Fazalganj,48. Nara Road,48. Kanadia Road,48. Chitalsar Manpada,48. Bhojpur Road,48. Peda Waltair,48. Chinakakani,48. Dariyapur,48. Danteshwar
49. Mallapur,49. HSR Layout Sector 3,49. Sholinganallur,49. Asarwa,49. Sector 82,49. Sector 56,49. Byculla,49. Pimpri,49. Dunlop,49. Singanpor,49. Hawa Sadak,"49. Sector 18, Gomti Nagar",49. Chamanganj,49. Hudkeshwar Road,49. Khandwa Road,49. Vijay Nagar,49. Phanda,49. Pothinamallayya Palem,49. Guntur,49. Gopalpur,49. Padra
50. Mallampet,50. HSR Layout Sector 4,50. Thoraipakkam,50. Saraspur,50. Sector 83,50. Sector 62,50. Mazgaon,50. Chinchwad,50. Belgharia,50. Limbayat,50. Jagatpura,"50. Sector 19, Gomti Nagar",50. Begum Purwa,50. Umred Road,50. Super Corridor,50. Runwal Garden City,50. Bairagarh,50. Kancherapalem,50. Kunchanapalli,50. Didarganj,50. Undera
51. Kothapet,51. HSR Layout Sector 5,51. Karapakkam,51. Rakhial,51. Sector 84,51. Sector 64,51. Parel,51. Akurdi,51. Madhyamgram,51. Bhestan,51. Jawahar Nagar,"51. Sector 20, Gomti Nagar",51. Becon Ganj,51. Wanjari Nagar,51. Kesarbagh Road,51. Runwal Estate,51. Bhanpur,51. Old Gajuwaka,51. Konduru,51. Ramkrishna Nagar,51. Por
52. Dilsukhnagar,52. HSR Layout Sector 6,52. Navalur,52. Bapunagar,52. Sector 85,52. Sector 65,52. Kalachowki,52. Ravet,52. Barasat,52. Chalthan,52. Jawahar Circle,"52. Sector 21, Gomti Nagar",52. Parade,52. Vayusena Nagar,52. Kalani Nagar,52. Haware City,52. Kamla Nagar,52. Mindi,52. Potharlanka,52. Kankarbagh Colony More,52. Dabhoi Road
53. Saroor Nagar,53. HSR Layout Sector 7,53. Perumbakkam,53. Ramol,53. Sector 86,53. Sector 66,53. Worli Sea Face,53. Nigdi,53. Barrackpore,53. Bamroli,53. Jawahar Colony,"53. Sector 22, Gomti Nagar",53. Colonelganj,53. Ajni,53. Dwarkapuri,53. Godrej Edenwoods,53. Chuna Bhatti,53. Chodavaram,53. Surayapalem,53. Nalanda Colony,53. Sama-Savli Road
54. Nagole,54. BTM Layout,54. Urapakkam,54. CTM,54. Sector 90,54. Sector 67,54. Altamount Road,54. Moshi,54. Shyambazar,54. Pandesara GIDC,54. JLN Marg,"54. Sector 23, Gomti Nagar",54. Bara Devi,54. Ramnagar,54. Nanda Nagar,54. Godrej Emerald,54. Royal City,54. Bhimunipatnam,54. Chavapadu,54. Shastrinagar,54. Tarsali
55. Vanastalipuram,55. Arekere,55. Guduvancheri,55. Hirawadi,55. Sector 91,55. Sector 68,55. Cumballa Hill,55. Talegaon,55. Sinthi,55. Sachin GIDC,55. Jaswant Nagar,"55. Sector 24, Gomti Nagar",55. Rania,55. Shraddhanand Peth,55. Pipliyahana,55. Acme Ozone,55. Sargam Cinema Road,55. Peda Waltair,55. Chebrolu,55. Jamal Road,55. Ranoli
56. Santoshnagar,56. Bannerghatta Road,56. Maraimalai Nagar,56. Memco,56. Sector 92,56. Sector 70,56. Walkeshwar,56. Chakan,56. Cossipore,56. Khatodara,56. Kanakpura,"56. Sector 25, Gomti Nagar",56. Jajmau,56. Vivekanand Nagar,56. Kanadia,56. Raunak Park,56. Golden City,56. Port Area,56. Pedavadlapudi,56. Patna City,56. Maneja
57. Malakpet,57. Hulimavu,57. Siruseri,57. Khokhra,57. Sector 93,57. Sector 72,57. Napean Sea Road,57. Bhosari,57. Shyampukur,57. Kim,57. Kanti Nagar,"57. Sector 26, Gomti Nagar",57. Shiv Katra,57. Panchsheel Nagar,57. Patel Nagar,57. Lokpuram,57. Hoshangabad Road,57. Steel Plant Township,57. Nekkallu,57. Masaurhi,57. Sayaji Park Society
58. Saidabad,58. Begur,58. Padur,58. Nava Vadaj,58. Sector 94,58. Sector 74,58. Tardeo,58. Tathawade,58. Shobhabazar,58. Olpad,58. Karni Vihar,"58. Sector 27, Gomti Nagar",58. Shyam Nagar,58. Jafar Nagar,58. Ambedkar Nagar,58. Ashar Enclave,58. Mandideep,58. Vepagunta,58. Chinakakani,58. Paliganj,58. Darbar Chokdi
59. Falaknuma,59. Bommanahalli,59. Kelambakkam,59. Chandlodia,59. Sector 95,59. Sector 75,59. Grant Road,59. Mamurdi,59. Burrabazar,59. Mora Bhagal,59. Keshav Vihar,"59. Sector 28, Gomti Nagar",59. Rai Purwa,59. Lashkaribagh,59. Chhoti Gwaltoli,59. Tulsidham,59. Amrawad Khurd,59. Pendurthi,59. Borupalem,59. Gandhi Path,59. Ramnagar
60. Chandrayangutta,60. Hosur Road,60. Neelankarai,60. Tragad,60. Sector 96,60. Sector 76,60. Mumbai Central,60. Chikhali,60. Dalhousie,60. Dabholi,60. Khatipura Road,"60. Sector 29, Gomti Nagar",60. Tatya Tope Nagar,60. Gittikhadan,60. Chhavni,60. Hiranandani Meadows,60. Barkheda Pathani,60. Vijayanagar,60. Velagapudi,60. Rajbansi Nagar,60. Samta
61. Bahadurpura,61. Singasandra,61. Palavakkam,61. Chharodi,61. Sector 97,61. Sector 78,61. Dadar West,61. Alandi,61. Strand Road,61. Dabholi Gam,61. Lal Kothi,"61. Sector 30, Gomti Nagar",61. Keshav Nagar,61. Narendra Nagar,61. Sukhdev Vihar,61. Dosti Vihar,61. Danish Kunj,61. Endada,61. Malkapuram,61. Haroon Nagar,61. Navapura
62. Bandlaguda,62. Bommasandra,62. Injambakkam,62. Viramgam,62. Sector 98,62. Sector 79,62. Dadar East,62. Charholi,62. BBD Bagh,62. Mahuva,62. Lalarpura,"62. Sector 31, Gomti Nagar",62. Munshi Purwa,62. Raj Nagar,62. Manik Bagh,62. Acacia,62. Huzur,62. Yelamanchili,62. Pedda Garlapadu,62. Jagdishpur,62. Sindhrot
63. Mehdipatnam,63. Attibele,63. Kottivakkam,63. Makarba,63. Sector 99,63. Sector 80,63. Matunga East,63. Dighi,63. Howrah,63. Kamrej,63. Madhyam Marg,"63. Sector 32, Gomti Nagar",63. Cooper Ganj,63. Hingna,63. Lasudia,63. Ashok Nagar,63. Bagh Sewania,63. Sriharipuram,63. Undavalli,63. Zero Mile,63. Diwalipura
64. Goshamahal,64. Jigani,64. Thiruverkadu,64. Jivraj Park,64. Sector 100,64. Sector 81,64. Matunga West,64. Pune Camp,64. Santragachi,64. Kosamba,64. Mahesh Nagar,"64. Sector 33, Gomti Nagar",64. Parmat,64. Wanadongri,64. Manorama Ganj,64. Raymond Realty,64. Sehore Road,64. Malkapuram,64. Venkatapalem,64. Sipara,64. Kashinath Nagar
65. Nampally,65. Chandapura,65. Iyyappanthangal,65. Vishala,65. Sector 101,65. Sector 82,65. Mahim West,65. MG Road (Mahatma Gandhi Road),65. Shibpur,65. Anjana Farm,65. Mahesh Nagar Extension,"65. Sector 34, Gomti Nagar",65. Ghatampur,65. Somwari Quarter,65. Mahalaxmi Nagar,65. Kanchan Pushp Complex,65. Kanadia Road,65. Zee Colony,65. Lankapalli,65. Harding Road,65. Nava Yard
66. Masab Tank,66. Anjanapura,66. Ramapuram,66. Juhapura,66. Sector 102,66. Sector 83,66. Mahim East,66. Boat Club Road,66. Andul,66. Umarwada,66. Meenawala,"66. Sector 35, Gomti Nagar",66. Nawabganj,66. Abhyankar Nagar,66. Bengali Square,66. Everest World,66. Peer Gate Area,66. VUDA Colony,66. Paritala,66. Chhoti Pahari,66. Kirti Stambh
67. Barkatpura,67. Kanakapura Road,67. Chitlapakkam,67. Sarkhej,67. Sector 104,67. Sector 84,67. Shivaji Park,67. Salisbury Park,67. Kadamtala,67. Muglisara,67. MI Road,"67. Sector 36, Gomti Nagar",67. Barra 2,67. Borgaon Dharmpeeth,67. Vaishali Nagar,67. Dosti Imperia,67. Anand Nagar,67. Ram Nagar,67. Vykuntapuram,67. Kumhrar Park,67. Sayaji Path
68. Kacheguda,68. Rajarajeshwari Nagar,68. Sembakkam,68. Dholka,68. Sector 105,68. Sector 85,68. Bandra West,68. Fatima Nagar,68. Salap,68. Rustampura,68. Narayan Vihar,"68. Sector 37, Gomti Nagar",68. Barra 8,68. Reshimbagh,68. Gumashta Nagar,68. Highland Residency,68. Amrapali Society,68. Allipuram,68. Gudimetla,68. Bypass Road,68. Vadsar
69. Himayathnagar,69. Kengeri,69. Selaiyur,69. Sanand,69. Sector 107,69. Sector 86,69. Bandra East,69. Mundhwa Road,69. Salkia,69. Katar Gam Darwaja,69. Nehru Place,"69. Sector 38, Gomti Nagar",69. Barra World Bank,69. Dhantoli,69. Malwa Mill,69. Siddhachal,69. New Subhash Nagar,69. Vijayawada Highway,69. Kondapalle,69. Dighwara,69. Kashinath Nagar
